UDI,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Type_encoded,Product ID_encoded,Failure Type_encoded
1,298.1,308.6,1551,42.8,0,0,2,7003,1
2,298.2,308.7,1408,46.3,3,0,1,1003,1
3,298.1,308.5,1498,49.4,5,0,1,1004,1
4,298.2,308.6,1433,39.5,7,0,1,1005,1
5,298.2,308.7,1408,40.0,9,0,1,1006,1
6,298.1,308.6,1425,41.9,11,0,2,7004,1
7,298.1,308.6,1558,42.4,14,0,1,1007,1
8,298.1,308.6,1527,40.2,16,0,1,1008,1
9,298.3,308.7,1667,28.6,18,0,2,7005,1
10,298.5,309.0,1741,28.0,21,0,2,7006,1
11,298.4,308.9,1782,23.9,24,0,0,0,1
12,298.6,309.1,1423,44.3,29,0,0,1,1
13,298.6,309.1,1339,51.1,34,0,2,7007,1
14,298.6,309.2,1742,30.0,37,0,2,7008,1
15,298.6,309.2,2035,19.6,40,0,1,1009,1
16,298.6,309.2,1542,48.4,42,0,1,1010,1
17,298.6,309.2,1311,46.6,44,0,2,7009,1
18,298.7,309.2,1410,45.6,47,0,2,7010,1
19,298.8,309.2,1306,54.5,50,0,0,2,1
20,298.9,309.3,1632,32.5,55,0,2,7011,1
21,298.9,309.3,1375,42.7,58,0,0,3,1
22,298.8,309.3,1450,44.8,63,0,1,1011,1
23,298.9,309.3,1581,30.7,65,0,2,7012,1
24,299.0,309.4,1758,25.7,68,0,1,1012,1
25,299.0,309.4,1561,37.3,70,0,2,7013,1
26,299.0,309.5,1861,23.3,73,0,1,1013,1
27,299.1,309.5,1512,39.0,75,0,1,1014,1
28,299.1,309.4,1811,24.6,77,0,0,4,1
29,299.1,309.4,1439,44.2,82,0,1,1015,1
30,299.0,309.4,1693,30.1,84,0,1,1016,1
31,299.1,309.5,1339,48.2,86,0,2,7014,1
32,299.0,309.4,1798,25.5,89,0,1,1017,1
33,299.0,309.4,1419,48.3,91,0,1,1018,1
34,298.9,309.3,1665,32.5,93,0,1,1019,1
35,298.8,309.1,1559,34.7,95,0,2,7015,1
36,298.8,309.2,1452,48.6,98,0,2,7016,1
37,298.9,309.2,1581,36.7,101,0,2,7017,1
38,298.8,309.1,1439,39.2,104,0,1,1020,1
39,298.9,309.2,1379,50.7,106,0,0,5,1
40,298.8,309.1,1350,52.5,111,0,1,1021,1
41,298.8,309.1,1362,45.4,113,0,1,1022,1
42,298.8,309.1,1368,50.8,115,0,1,1023,1
43,298.8,309.1,1368,49.1,117,0,2,7018,1
44,298.8,309.2,1372,48.5,120,0,0,6,1
45,298.8,309.1,1472,47.5,125,0,2,7019,1
46,298.8,309.1,1489,49.1,128,0,1,1024,1
47,298.7,309.0,1843,25.8,130,0,2,7020,1
48,298.8,309.1,1418,46.3,133,0,1,1025,1
49,298.8,309.2,1425,53.9,135,0,0,7,1
50,298.9,309.2,1412,44.1,140,0,2,7021,1
51,298.9,309.1,2861,4.6,143,1,1,1026,3
52,298.9,309.1,1383,54.9,145,0,1,1027,1
53,298.8,309.0,1497,43.8,147,0,0,8,1
54,298.7,309.0,1565,35.1,152,0,1,1028,1
55,298.7,309.0,1691,30.1,154,0,1,1029,1
56,298.8,309.1,1512,40.7,156,0,1,1030,1
57,298.8,309.1,1477,42.4,158,0,1,1031,1
58,298.8,309.1,1513,40.3,160,0,1,1032,1
59,298.8,309.0,1661,29.5,162,0,2,7022,1
60,298.8,309.1,1378,54.4,165,0,1,1033,1
61,298.8,309.1,1393,52.6,167,0,1,1034,1
62,298.8,309.0,1592,38.2,169,0,2,7023,1
63,298.8,309.0,1829,22.9,172,0,1,1035,1
64,298.9,309.0,1812,25.9,174,0,2,7024,1
65,299.0,309.1,1523,38.6,177,0,1,1036,1
66,299.0,309.1,1394,45.1,179,0,1,1037,1
67,298.9,308.9,1679,28.7,181,0,2,7025,1
68,298.8,308.9,1466,44.1,184,0,0,9,1
69,298.8,308.9,1527,32.4,189,0,1,1038,1
70,298.9,309.0,1410,65.7,191,1,1,1039,3
71,298.9,309.0,1924,22.6,193,0,2,7026,1
