UDI,Air_temperature_K,Process_temperature_K,Rotational_speed_rpm,Torque_Nm,Tool_wear_min,Target,Type_encoded,Product_ID_encoded,Failure_Type_encoded
1,298.7490802376947,308.3702658576772,1619,38.35477116764095,12,0,2,1006,1
2,299.9014286128198,309.08380189475673,1790,29.465940565249227,42,1,2,1004,1
3,299.4639878836228,309.7458916717528,1562,49.49189359850171,20,1,1,1003,0
4,299.1973169683941,309.46444977281914,1619,39.66212409330861,54,1,2,1005,1
5,298.31203728088485,309.6131222957229,1669,51.021036830859856,39,0,2,1005,1
6,298.3119890406724,309.3175667334214,1519,51.80974403135707,14,1,2,7003,1
7,298.1161672243364,309.3845531290357,1793,33.93583353156242,51,0,1,1003,1
8,299.7323522915499,309.6983913031306,1735,46.4058975007636,52,1,2,7005,0
9,299.20223002348644,308.49933601771835,1799,41.223890516563486,51,1,2,1008,0
10,299.4161451555921,308.97884992728626,1581,52.644388661801585,29,1,1,1006,1
11,298.0411689885916,308.4424188836392,1505,34.04073901694072,32,1,1,1005,0
12,299.939819704324,309.9753360159933,1616,46.97876960868123,56,0,2,1005,1
13,299.66488528160085,309.88811867937324,1604,45.01705942307623,51,0,1,1004,1
14,298.42467822135654,308.07885362273703,1469,36.26844137201132,8,1,2,1004,1
15,298.3636499344142,309.4111503450314,1443,31.82482530223283,53,1,1,1007,0
16,298.36680901970686,309.85049663483136,1728,46.24591329336374,0,0,1,7005,1
17,298.60848448591906,308.36115069025465,1700,48.68072882770526,43,0,2,1004,0
18,299.04951286326445,309.13589046110525,1627,36.8375656253738,8,0,2,1004,0
19,298.86389003728425,309.8309765951761,1583,46.055312912624785,31,0,2,1008,1
20,298.5824582803961,308.0678919571716,1506,39.063665413122095,14,1,1,1004,0
21,299.22370578944475,309.39484053449365,1483,47.969792731913294,11,1,2,1006,0
22,298.2789877213041,308.5946980147451,1737,33.57802769703349,56,0,2,1008,1
23,298.5842892970704,309.84879239075303,1649,52.92602007381288,7,0,2,1007,0
24,298.7327236865874,309.94211649033076,1762,36.04746870103623,26,0,2,1003,0
25,298.9121399684341,309.88853297822686,1420,38.29800765717228,61,0,2,1008,1
26,299.570351922786,308.9484284333149,1595,29.626574658249794,11,0,1,1003,1
27,298.3993475643167,309.7240853019786,1577,31.12234194499574,64,0,2,1005,0
28,299.0284688768272,309.68909879707013,1406,42.44413327594519,41,1,2,1007,1
29,299.1848291377241,308.6382009464865,1469,35.4925949483832,61,1,1,1007,1
30,298.09290082544,309.65783094830135,1526,51.39344632078144,10,1,2,1008,0
31,299.2150897038029,308.07401526943096,1798,28.411414882338708,42,0,2,7004,0
32,298.3410482473746,309.1925397569641,1559,38.61463336281422,16,0,2,1007,1
33,298.13010318597054,308.4600176745754,1647,37.44567530953459,31,0,2,1003,0
34,299.8977710745067,308.24113377155453,1602,28.541173665692828,39,1,2,1007,1
35,299.93126406614914,308.1539064032584,1547,31.482315172014285,22,0,1,1005,1
36,299.61679469623294,309.3925775517563,1542,39.581994897721785,55,0,1,1006,0
37,298.6092275383467,308.67974992753614,1598,41.8002083645285,5,1,1,7004,0
38,298.19534422801274,309.4495335430575,1553,39.320112923136335,49,0,2,7003,1
39,299.3684660530243,308.13071268159786,1775,42.866254995538625,36,1,1,1007,1
40,298.8803049874792,308.63058067566124,1783,44.663686897359085,63,1,2,1004,1
41,298.24407646968956,309.0789825847507,1541,28.277866991579398,53,0,2,1008,1
42,298.99035382022254,309.58144632967793,1712,40.994664464698104,48,1,2,1008,0
43,298.0687770422304,308.6375050058641,1564,54.97797874485247,10,0,1,1008,1
